DracoX  259.808203826 57.938868534 PA=0.0
    568967 17:17:43.340 57:50:003.10 2000.0 20.591   I    1 2
    570203 17:17:43.380 57:50:010.40 2000.0 16.308   I  484 1
    715225 17:17:43.380 58:02:051.60 2000.0 22.333   I    1 2
    575831 17:17:43.400 57:50:044.70 2000.0 21.336   I    1 2
    652135 17:17:43.470 57:57:015.40 2000.0 19.461   I  481 1
    695506 17:17:43.470 58:00:044.00 2000.0 20.659   I    1 2
    557215 17:17:43.480 57:48:050.70 2000.0 23.887   I    1 2
    683012 17:17:43.480 57:59:036.90 2000.0 23.185   I    1 2
    536266 17:17:43.640 57:46:034.30 2000.0 19.325   I    1 2
    693302 17:17:43.640 58:00:030.60 2000.0 24.220   I    1 2
    606705 17:17:43.670 57:53:044.60 2000.0 21.490   I    1 2
    716319 17:17:43.700 58:02:059.70 2000.0 22.436   I    1 2
    647824 17:17:43.760 57:56:056.80 2000.0 23.836   I    1 2
    600926 17:17:43.820 57:53:010.60 2000.0 21.255   I    1 2
    607628 17:17:43.860 57:53:049.80 2000.0 22.073   I    1 2
    635897 17:17:43.860 57:56:005.70 2000.0 17.079   I  483 1
    573535 17:17:43.880 57:50:030.70 2000.0 24.302   I    1 2
    541910 17:17:43.890 57:47:013.20 2000.0 23.047   I    1 2
    661975 17:17:44.090 57:57:059.90 2000.0 22.319   I    1 2
    692369 17:17:44.130 58:00:024.80 2000.0 23.964   I    1 2
    583777 17:17:44.150 57:51:031.10 2000.0 21.543   I    1 2
    651874 17:17:44.150 57:57:014.40 2000.0 22.906   I    1 2
    731285 17:17:44.150 58:04:045.30 2000.0 17.647   I    1 2
    575012 17:17:44.180 57:50:039.60 2000.0 21.428   I    1 2
    569419 17:17:44.230 57:50:005.70 2000.0 18.870   I    1 2
    537801 17:17:44.270 57:46:045.80 2000.0 22.343   I    1 2
    607908 17:17:44.390 57:53:051.60 2000.0 24.301   I    1 2
    719329 17:17:44.430 58:03:020.60 2000.0 17.958   I   -2 2
    544544 17:17:44.450 57:47:030.20 2000.0 22.375   I    1 2
    553986 17:17:44.460 57:48:030.80 2000.0 22.200   I    1 2
    612505 17:17:44.470 57:54:016.60 2000.0 23.609   I    1 2
    605208 17:17:44.480 57:53:036.00 2000.0 21.258   I    1 2
    706325 17:17:44.480 58:01:050.10 2000.0 22.234   I    1 2
    539831 17:17:44.500 57:46:059.40 2000.0 23.375   I    1 2
    728425 17:17:44.550 58:04:023.90 2000.0 21.257   I    1 2
    531132 17:17:44.580 57:45:020.20 2000.0 21.709   I    1 2
    719669 17:17:44.670 58:03:023.10 2000.0 22.936   I    1 2
    710189 17:17:44.680 58:02:016.80 2000.0 23.630   I    1 2
    708536 17:17:44.750 58:02:005.10 2000.0 24.017   I    1 2
    694771 17:17:44.780 58:00:039.40 2000.0 24.605   I    1 2
    551590 17:17:44.840 57:48:016.00 2000.0 23.693   I    1 2
    718461 17:17:44.850 58:03:014.40 2000.0 24.237   I    1 2
    561810 17:17:44.920 57:49:019.00 2000.0 23.475   I    1 2
    704309 17:17:44.930 58:01:036.90 2000.0 24.467   I    1 2
    537076 17:17:45.080 57:46:040.50 2000.0 23.526   I    1 2
    700442 17:17:45.230 58:01:013.70 2000.0 24.987   I    1 2
    728023 17:17:45.240 58:04:021.10 2000.0 24.697   I    1 2
    603203 17:17:45.250 57:53:024.10 2000.0 15.894   I    1 2
    682153 17:17:45.280 57:59:032.60 2000.0 20.246   I    1 2
    716362 17:17:45.390 58:03:000.10 2000.0 22.773   I    1 2
    573050 17:17:45.420 57:50:027.70 2000.0 23.102   I    1 2
    669929 17:17:45.480 57:58:036.80 2000.0 24.201   I    1 2
    706810 17:17:45.480 58:01:053.30 2000.0 23.870   I    1 2
    539353 17:17:45.500 57:46:056.40 2000.0 23.022   I    1 2
    591880 17:17:45.530 57:52:018.90 2000.0 20.555   I    1 2
    570699 17:17:45.650 57:50:013.40 2000.0 20.747   I    1 2
    655157 17:17:45.660 57:57:029.10 2000.0 24.433   I    1 2
    713712 17:17:45.740 58:02:040.80 2000.0 24.908   I    1 2
    547619 17:17:45.820 57:47:050.60 2000.0 13.894   I    1 2
    584160 17:17:45.850 57:51:033.20 2000.0 23.565   I    1 2
    539838 17:17:45.860 57:46:059.50 2000.0 24.218   I    1 2
    707673 17:17:45.880 58:01:059.30 2000.0 22.574   I    1 2
    728055 17:17:45.930 58:04:021.30 2000.0 18.378   I   -2 2
    712763 17:17:46.010 58:02:034.30 2000.0 23.577   I    1 2
    675374 17:17:46.020 57:59:001.30 2000.0 23.720   I    1 2
    721811 17:17:46.070 58:03:037.80 2000.0 24.937   I    1 2
    580819 17:17:46.120 57:51:014.40 2000.0 21.775   I    1 2
    730785 17:17:46.120 58:04:041.60 2000.0 24.463   I    1 2
    714755 17:17:46.160 58:02:048.20 2000.0 22.842   I    1 2
    717126 17:17:46.240 58:03:005.30 2000.0 19.242   I  481 1
    538832 17:17:46.250 57:46:053.10 2000.0 20.898   I    1 2
    713153 17:17:46.280 58:02:036.80 2000.0 21.129   I    1 2
    686031 17:17:46.290 57:59:051.90 2000.0 23.661   I    1 2
    689289 17:17:46.350 58:00:008.10 2000.0 23.506   I    1 2
    615491 17:17:46.410 57:54:032.20 2000.0 22.473   I    1 2
    664075 17:17:46.450 57:58:009.20 2000.0 24.228   I    1 2
    670084 17:17:46.510 57:58:037.60 2000.0 22.097   I    1 2
    725132 17:17:46.530 58:04:000.20 2000.0 24.305   I    1 2
    616612 17:17:46.550 57:54:038.00 2000.0 24.390   I    1 2
    578969 17:17:46.600 57:51:003.70 2000.0 22.133   I    1 2
    715824 17:17:46.600 58:02:056.10 2000.0 19.396   I    1 2
    698241 17:17:46.630 58:01:000.80 2000.0 15.305   I   -2 2
    541327 17:17:46.650 57:47:009.10 2000.0 23.991   I    1 2
    592775 17:17:46.660 57:52:024.10 2000.0 24.036   I    1 2
    728372 17:17:46.710 58:04:023.50 2000.0 23.560   I    1 2
    552383 17:17:46.790 57:48:020.60 2000.0 23.972   I    1 2
    693114 17:17:46.850 58:00:029.50 2000.0 22.180   I    1 2
    734639 17:17:46.860 58:05:008.10 2000.0 24.165   I    1 2
    715987 17:17:46.890 58:02:057.30 2000.0 19.080   I    1 2
    694036 17:17:46.920 58:00:035.20 2000.0 20.259   I    1 2
    719031 17:17:46.920 58:03:018.60 2000.0 20.846   I    1 2
    725620 17:17:46.950 58:04:003.80 2000.0 23.745   I    1 2
    731301 17:17:47.020 58:04:045.40 2000.0 24.710   I    1 2
    555346 17:17:47.030 57:48:039.00 2000.0 23.111   I    1 2
    714183 17:17:47.070 58:02:044.20 2000.0 23.608   I    1 2
